,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
437,0.3182,0.0,0.0,0.161,@nytimes,2018-06-08 20:49:39,"@michelleinbklyn @RepMaxineWaters @RepAlGreen @TomSteyer Please rally fellow columnists, including the @nytimes Edi… https://t.co/H0SCz2upS9",10
438,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:38,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",11
439,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:36,RT @MAHP1804: @srel6009 @ph44tum @lic_ramonhdz @mjcastillejos @monerohernandez @AztecaNoticias @RicardoAnayaC @Cruzamaranta @nytimes @sophi…,12
440,0.3321,0.0,0.0,0.228,@nytimes,2018-06-08 20:49:36,@nytimes Hillarycides usually lead to more Hillarycides as well.,13
441,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:35,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",14
442,0.8718,0.0,0.0,0.473,@nytimes,2018-06-08 20:49:33,@carlahall thank you for supporting @RashadJennings' book. It made the @nytimes best seller list!,15
443,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:32,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",16
444,-0.34,0.124,0.124,0.0,@nytimes,2018-06-08 20:49:31,"RT @ChristopherHull: As the EVP of @SecureFreedom, I call for @NYTimes' @deanbaquet to fire @jugalpatelNYT immediately for his anti-militar…",17
445,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:24,@purplerainmaybe @snoopy73w @nytimes That's probably a big part of it--people aren't around to be with one another.… https://t.co/mGeTo1iTf1,18
446,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:22,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",19
447,0.7284,0.0,0.0,0.242,@nytimes,2018-06-08 20:49:21,WOW!   Hmmm.. won’t be getting The NY Times anymore at the store! @washingtonpost @nytimes @AirForceTimes @USNavy… https://t.co/P4nqxyE0GK,20
448,-0.5574,0.146,0.146,0.0,@nytimes,2018-06-08 20:49:21,"RT @nytimes: Breaking News: Anthony Bourdain, whose memoir about the dark corners of New York’s restaurants started a TV career, died at 61…",21
449,0.0772,0.0,0.0,0.056,@nytimes,2018-06-08 20:49:19,"RT @nytimes: In November 2017, @nytimesbooks asked Anthony Bourdain who he'd want to write his life story. His response? ""I already wrote i…",22
450,0.7351,0.0,0.0,0.237,@nytimes,2018-06-08 20:49:15,"RT @JohnRLottJr: Wow, is this an admission of how @aliwatkins viewed her relationship with James Wolfe, the former security director for th…",23
451,-0.128,0.067,0.067,0.0,@nytimes,2018-06-08 20:49:15,"RT @nytimes: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",24
452,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:12,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",25
453,-0.7579,0.395,0.395,0.0,@nytimes,2018-06-08 20:49:12,"@JohnRLottJr @nytimes @AliWatkins Sorry, it was sarcasm (I've often been accused of underuse of emojis). 😞",26
454,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:11,@nytimes They say celebrity deaths come in threes. Two so far. Maybe Rosanne will be the third.,27
455,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:11,@nytimes Another reporter we will be reading about on the news in a few years?,28
456,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:11,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",29
457,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:10,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",30
458,-0.128,0.067,0.067,0.0,@nytimes,2018-06-08 20:49:09,"RT @nytimes: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",31
459,-0.9042,0.526,0.526,0.0,@nytimes,2018-06-08 20:49:08,RT @bcnviafora_eng: A man arrested in Reus (Catalonia) charged on threatening with death a non-secessionist polititian https://t.co/mebtQGq…,32
460,0.4215,0.09,0.09,0.191,@nytimes,2018-06-08 20:49:08,"RT @Remroum: What Israel, with @nytimes's help, is trying to do is cast doubt around Razan's innocence. As if her calculated execution was…",33
461,0.0772,0.0,0.0,0.056,@nytimes,2018-06-08 20:49:07,"RT @nytimes: In November 2017, @nytimesbooks asked Anthony Bourdain who he'd want to write his life story. His response? ""I already wrote i…",34
462,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:05,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",35
463,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:49:01,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",36
464,-0.4404,0.112,0.112,0.0,@nytimes,2018-06-08 20:49:00,"RT @nytimes: When José, 5,  landed in Michigan, all he carried was a trash bag stuffed with dirty clothes from his dayslong trek across Mex…",37
465,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:59,"@nytimes Nyt should do a quick study of cluster suicides.
I think numers are the re",38
466,-0.25,0.154,0.154,0.0,@nytimes,2018-06-08 20:48:56,Former Fox News Analyst Calls Network a ‘Destructive Propaganda Machine’   via @NYTimes https://t.co/lJbEND9xR6,39
467,-0.5093,0.295,0.295,0.13,@nytimes,2018-06-08 20:48:54,"@nytimes Sorry, Prime Minister, but hasn't #DonaldTrump made it shamelessly clear he doesn't care about any1 but hi… https://t.co/SFo04Gc3xu",40
468,-0.5574,0.141,0.141,0.0,@nytimes,2018-06-08 20:48:52,RT @Remroum: There is 0 mention by @nytimes that Razan was simply holding an Israeli teargas canister fired by the Israeli military. And th…,41
469,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:49,@nytimes And those associated with the cabal.,42
470,-0.6486,0.212,0.212,0.0,@nytimes,2018-06-08 20:48:49,"Anthony Bourdain, Renegade Chef Who Reported From the World’s Tables, Is Dead at 61   via @NYTimes https://t.co/dV3tQPuLbT",43
471,-0.128,0.067,0.067,0.0,@nytimes,2018-06-08 20:48:49,"RT @nytimes: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",44
472,0.4404,0.0,0.0,0.132,@nytimes,2018-06-08 20:48:48,"RT @fightinback: @tracybeanz  and even better, tonight the DOJ raided the @nytimes seizing cell phones from reporters, Later INDICTED JAMES…",45
473,-0.34,0.328,0.328,0.203,@nytimes,2018-06-08 20:48:44,RT @nytimes: What to do when a loved one is severely depressed https://t.co/3Qd32EdtdY,46
474,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:43,RT @sudipmisra: RT @_Achilles_: @GcReforms @FoxNews @CNN @ABC @politico @seattletimes @nytimes @business @thehill @NBCNews @CNBC @ajc @Huff…,47
475,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:43,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",48
476,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:43,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",49
477,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:42,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",50
478,0.296,0.0,0.0,0.109,@nytimes,2018-06-08 20:48:40,These people are a joke.  We've got a Pakistani Spy Ring Waiting For Some Attention @CNN @MSNBC @ABC @WaPo @nytimes… https://t.co/1KkjJUmjlz,51
479,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:39,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",52
480,-0.7964,0.353,0.353,0.0,@nytimes,2018-06-08 20:48:37,@nytimes Only if you are involved in bad shit that will soon be found out.,53
481,-0.2003,0.153,0.153,0.186,@nytimes,2018-06-08 20:48:37,"RT @Doodisgirl: The Hate is Real. The Hypocrisy Astounding! 
(and I apologize for their language)
#NYTimes Reporters:
 “F**k The Military,”…",54
482,0.7184,0.0,0.0,0.222,@nytimes,2018-06-08 20:48:36,"RT @HereditaryMovie: #HEREDITARY is the scariest film of the year, and also one of the best. @NYTimes Critic's Pick — Now Playing In Theate…",55
483,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:35,RT @GcReforms: Tw4/4 @FoxNews @CNN @ABC @politico @seattletimes @nytimes  @business @thehill @NBCNews  @CNBC @ajc @HuffPost @washingtonpost…,56
484,0.1513,0.0,0.0,0.15,@nytimes,2018-06-08 20:48:34,"@nytimes #MeToo @TIMESUPNOW @SenGillibrand really want to be dominated, too.",57
485,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:33,@nytimes You think china clones a,58
486,0.4215,0.064,0.064,0.136,@nytimes,2018-06-08 20:48:32,"RT @nytimes: The Justice Department seized a Times reporter’s phone and email records, its first known use of such an aggressive tactic und…",59
487,0.34,0.0,0.0,0.118,@nytimes,2018-06-08 20:48:26,RT @robbystarbuck: Think of the implications if major media organizations tacitly approve of reporters sleeping with security and intellige…,60
488,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:25,@jamestrumpster1 @amazingfavors @JackPosobiec @nytimes @DNC 😂😂,61
489,-0.6705,0.148,0.148,0.0,@nytimes,2018-06-08 20:48:24,"RT @nytimes: Suicide rates rose steadily in nearly every state in the U.S. from 1999 to 2016, often by as much as 30 percent, the CDC repor…",62
490,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:24,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",63
491,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:21,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",64
492,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:20,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",65
493,-0.3612,0.294,0.294,0.0,@nytimes,2018-06-08 20:48:20,@nytimes This headline is ridiculous. “But only”?,66
494,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:19,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",67
495,-0.4404,0.195,0.195,0.0,@nytimes,2018-06-08 20:48:18,"RT @maggieNYT: With Mueller Closing In, Manafort’s Allies Abandon Him   via @NYTimes https://t.co/W0K3dxh2N2",68
496,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:17,RT @GcReforms: Tw4/4 @FoxNews @CNN @ABC @politico @seattletimes @nytimes  @business @thehill @NBCNews  @CNBC @ajc @HuffPost @washingtonpost…,69
497,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:15,@peerlux @CharlesMichel @Prof_TGSchulze @libe @ScotNational @faznet @guardian @SZ @BILD @DerSPIEGEL @Le_Figaro… https://t.co/5NC5JW011I,70
498,-0.0258,0.135,0.135,0.131,@nytimes,2018-06-08 20:48:14,"RT @prayingmedic: @nytimes Deep state media in panic?
They have it all.
Snowball is rolling. 
D5 coming.
Enjoy the show.",71
499,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:13,RT @GcReforms: Tw4/4 @FoxNews @CNN @ABC @politico @seattletimes @nytimes  @business @thehill @NBCNews  @CNBC @ajc @HuffPost @washingtonpost…,72
500,0.5423,0.088,0.088,0.216,@nytimes,2018-06-08 20:48:11,And so today Donald Trump is going to hand you niggas breadcrumbs by pardoning all your homeboys. Then bow down to… https://t.co/7KjUsMyLF9,73
501,0.8442,0.0,0.0,0.603,@nytimes,2018-06-08 20:48:10,"@ChristinaMaroc @LouiseBagshawe @patribotics @nytimes @washingtonpost Wow, I certainly hope SO.",74
502,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:10,"RT @nytimes: 2 years ago, we asked Anthony Bourdain to answer a series of questions. He sketched his answers, with a Sharpie and a ballpoin…",75
503,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:09,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",76
504,-0.6808,0.26,0.26,0.081,@nytimes,2018-06-08 20:48:09,@nytimes Kate’s sister said she couldn’t stop thinking of the way Robin Williams committed suicide and then she did… https://t.co/jaie6WTb03,77
505,0.3885,0.13,0.13,0.247,@nytimes,2018-06-08 20:48:07,@nytimes EPA NO LONGER A PROTECTION AGENCY NOW FUNNELS FUNDS TO FAVOR BUSINESSES &amp; LOBBYISTS REPEALING PROTECTIONS… https://t.co/pZnl44Pz0H,78
506,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:48:06,Documentaire van @nytimes gekeken op @canvas Zo goed! #TheFourthEstate https://t.co/r6coyDbZNg,79
507,0.1027,0.0,0.0,0.167,@nytimes,2018-06-08 20:48:01,"RT @FaudaNetflix: ""[A] gritty, naturalistic thriller"" — @nytimes https://t.co/mtxwiQxAHe",80
508,-0.5267,0.167,0.167,0.0,@nytimes,2018-06-08 20:47:59,RT @nytimes: A lost John Coltrane recording from 1963 will be released for the first time in June. His classic quartet cut the album 2 year…,81
509,-0.2732,0.1,0.1,0.0,@nytimes,2018-06-08 20:47:58,"RT @nytimes: Breaking News: Paul Manafort, the former Trump campaign chairman, faces new obstruction charges in the Russia case. Manafort’s…",82
510,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:57,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",83
511,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:57,@GarethPorter @nytimes  Can South Koreans say that about Donald Trump?  Can Americans?,84
512,-0.4767,0.279,0.279,0.0,@nytimes,2018-06-08 20:47:51,The Price of an Incompetent President   via @NYTimes https://t.co/WVOUtCN8We,85
513,-0.0258,0.094,0.094,0.089,@nytimes,2018-06-08 20:47:51,@purplerainmaybe @nytimes Social isolation feels like it should be a major reason. But you can't get more tradition… https://t.co/L63UzNEOzF,86
514,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:49,@JohnRLottJr @cashbrittany23 @nytimes #Sextrafficing,87
515,-0.128,0.067,0.067,0.0,@nytimes,2018-06-08 20:47:48,"RT @nytimes: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",88
516,0.7351,0.0,0.0,0.237,@nytimes,2018-06-08 20:47:46,"RT @JohnRLottJr: Wow, is this an admission of how @aliwatkins viewed her relationship with James Wolfe, the former security director for th…",89
517,0.3818,0.0,0.0,0.11,@nytimes,2018-06-08 20:47:44,"RT @vanessahistory: Dear @nytimes, when planning your next puff piece about financial aid at Princeton etc. and 'how you don't actually hav…",90
518,0.4199,0.0,0.0,0.358,@nytimes,2018-06-08 20:47:44,@AlexKleeman @nytimes Thank you so much!,91
519,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:43,RT @GcReforms: Tw4/4 @FoxNews @CNN @ABC @politico @seattletimes @nytimes  @business @thehill @NBCNews  @CNBC @ajc @HuffPost @washingtonpost…,92
520,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:42,"RT @nytimes: 2 years ago, we asked Anthony Bourdain to answer a series of questions. He sketched his answers, with a Sharpie and a ballpoin…",93
521,0.34,0.0,0.0,0.118,@nytimes,2018-06-08 20:47:37,RT @robbystarbuck: Think of the implications if major media organizations tacitly approve of reporters sleeping with security and intellige…,94
522,0.34,0.0,0.0,0.103,@nytimes,2018-06-08 20:47:36,"@nytimes Do you believe what he says. He could easily make up the size of the operation...it was a bi operation, th… https://t.co/NYeTS9r6E2",95
523,0.0,0.0,0.0,0.0,@nytimes,2018-06-08 20:47:36,"RT @nytimes: Suicides may beget other suicides, researchers have found, but only among those already contemplating taking their own lives h…",96
524,-0.4767,0.205,0.205,0.0,@nytimes,2018-06-08 20:47:35,RT @pressfreedom: CPJ: Data seizure from @NYTimes reporter @AliWatkins sets dangerous precedent https://t.co/QCdK0yIPwH,97
525,0.3612,0.0,0.0,0.135,@nytimes,2018-06-08 20:47:34,"@nytimes @pete_wells I guess, like many of us, he couldn't stand to see the Cavs go down again.",98
526,-0.875,0.31,0.31,0.0,@nytimes,2018-06-08 20:47:34,"RT @nytimes: If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-800-273-8255…",99
527,-0.128,0.067,0.067,0.0,@nytimes,2018-06-08 20:47:32,"RT @nytimes: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",100
